https://doi.org/10.1016/j.sab.2021.106098
m/z	Analyte Element Ion	Element Overlap Ion Contains	Overlap ion	Ion type
209	Bi	Ir	191Ir18O	oxide
209	Bi	Ir	193Ir16O	oxide
209	Bi	Os	192Os16O1H	hydroxide
209	Bi	Pb	208Pb1H	hydride
232	Th	Os	192Os40Ar	argide
232	Th	Pt	192Pt40Ar	argide
232	Th	Ar	192Os40Ar	argide
232	Th	Ar	192Pt40Ar	argide
234	U	Pt	194Pt40Ar	argide
234	U	Re	185Re16O16O16O1H	other polyatomic
234	U	Pb	206Pb14N14N	other polyatomic
234	U	Pb	204Pb14N16O	other polyatomic
234	U	Ar	194Pt40Ar	argide
234	U	N	206Pb14N14N	other polyatomic
234	U	N	204Pb14N16O	other polyatomic
234	U	O	204Pb14N16O	other polyatomic
235	U	Pb	207Pb14N14N	other polyatomic
235	U	Pt	195Pt40Ar	argide
235	U	Re	187Re16O16O16O	trioxide
235	U	Ar	195Pt40Ar	argide
235	U	N	207Pb14N14N	other polyatomic
236	U	Pt	196Pt40Ar	argide
236	U	Pb	204Pb16O16O	dioxide
236	U	Pb	208Pb14N14N	other polyatomic
236	U	Pb	206Pb14N16O	other polyatomic
236	U	Hg	196Hg40Ar	argide
236	U	Ar	196Pt40Ar	argide
236	U	Ar	196Hg40Ar	argide
236	U	N	208Pb14N14N	other polyatomic
236	U	N	206Pb14N16O	other polyatomic
236	U	O	206Pb14N16O	other polyatomic
238	U	Hg	198Hg40Ar	argide
238	U	Pb	206Pb16O16O	dioxide
238	U	Pb	208Pb14N16O	other polyatomic
238	U	Ar	198Hg40Ar	argide
238	U	N	208Pb14N16O	other polyatomic
238	U	O	208Pb14N16O	other polyatomic
